scene,scan,name,path_rgb,path_depth,path_mask
scene_00000,scan_00000,00000_00000_indoors_020_050,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_020_050.png,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_020_050_depth.npy,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_020_050_depth_mask.npy
scene_00000,scan_00000,00000_00000_indoors_030_030,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_030_030.png,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_030_030_depth.npy,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_030_030_depth_mask.npy
scene_00000,scan_00000,00000_00000_indoors_030_050,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_030_050.png,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_030_050_depth.npy,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_030_050_depth_mask.npy
scene_00000,scan_00000,00000_00000_indoors_040_000,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_040_000.png,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_040_000_depth.npy,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_040_000_depth_mask.npy
scene_00000,scan_00000,00000_00000_indoors_040_000_FS,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_040_000_FS.png,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_040_000_depth_FS.npy,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_040_000_depth_mask_FS.npy
scene_00000,scan_00000,00000_00000_indoors_040_040,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_040_040.png,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_040_040_depth.npy,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_040_040_depth_mask.npy
scene_00000,scan_00000,00000_00000_indoors_040_050,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_040_050.png,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_040_050_depth.npy,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_040_050_depth_mask.npy
scene_00000,scan_00000,00000_00000_indoors_040_050_FGS,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_040_050_FGS.png,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_040_050_depth_FGS.npy,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_040_050_depth_mask_FGS.npy
scene_00000,scan_00000,00000_00000_indoors_050_000,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_050_000.png,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_050_000_depth.npy,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_050_000_depth_mask.npy
scene_00000,scan_00000,00000_00000_indoors_050_010,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_050_010.png,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_050_010_depth.npy,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_050_010_depth_mask.npy
scene_00000,scan_00000,00000_00000_indoors_050_030,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_050_030.png,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_050_030_depth.npy,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_050_030_depth_mask.npy
scene_00000,scan_00000,00000_00000_indoors_050_050,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_050_050.png,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_050_050_depth.npy,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_050_050_depth_mask.npy
scene_00000,scan_00000,00000_00000_indoors_050_050_FCGS,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_050_050_FCGS.png,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_050_050_depth_FCGS.npy,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_050_050_depth_mask_FCGS.npy
scene_00000,scan_00000,00000_00000_indoors_060_040,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_060_040.png,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_060_040_depth.npy,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_060_040_depth_mask.npy
